,lead_paragraph,headline,uplifting
141,"The White House has granted a special ethics waiver to allow President Obama's top counterterrorism adviser to conduct a review of the intelligence and screening breakdown that preceded the failed Christmas Day bombing attempt on an American passenger plane over Detroit. John O. Brennan, the deputy national security adviser for homeland security and counterterrorism, is in charge of diagnosing what Mr. Obama has already called the ''human and systemic failures'' that allowed a Nigerian man with known extremist views and explosives in his underwear to board the flight from Amsterdam to the United States. Mr. Brennan gave a preliminary report to Mr. Obama on Thursday.",Obama Aide Gets Waiver To Investigate Airline Plot,0
142,"MIRAGLIA--Patricia A.,formerly of Nanuet, NY, died on December 28, 2009. Survived by her son Steve, daughter Lisa and grandchildren John Patrick, Jennifer and Casey. Mass of Christian Burial on Monday, 10am in St. Paul's Church, Conger, NY. Visiting Sunday from 2-4 and 7-9pm at Higgins Funeral Home in New City, NY.","Paid Notice: Deaths  MIRAGLIA, PATRICIA A.",0
143,"With the Jan. 2 deadline for applications fast approaching, the dean of admissions at the University of Chicago sent out a sample essay last week to thousands of high school seniors in hopes ''that it lightens your mood, reduces any end-of-the-year stress and inspires your creative juices in completing your applications.'' But the essay, comparing the college to an elusive lover, has had a very different effect. ''Dear University of Chicago, It fills me up with that gooey sap you feel late at night when I think about things that are really special to me about you,'' the essay began. ''Tell me, was I just one in a line of many? Was I just another supple 'applicant' to you, looking for a place to live, looking for someone to teach me the ways of the world?''",The University of Chicago Gets an Earful Over a Cheeky Essay,0
144,"CABARET Anyone familiar with Elaine Stritch's feisty renditions of ''The Ladies Who Lunch'' from ''Company'' and ''Broadway Baby'' from ''Follies'' knows that her approach to the music of Stephen Sondheim is a dramatic no-holds-barred wrestling match between the singer and the song, in which there is little doubt about the outcome. Her new show, ''At Home at the Carlyle: Elaine Stritch Singin' Sondheim ... One Song at a Time,'' which opens at the Café Carlyle on Tuesday, is likely to be a draw, in which Ms. Stritch's hard-as-nails, tough-broad personality with a cream-puff heart fuses with the material so completely that she owns it.","Around the City, A Wide Range of Sounds",0
145,"The United Nations is moving as many as 60 foreign employees, or about one-quarter of its international staff, out of Pakistan for at least six months over safety concerns, a United Nations official said Thursday. The decision, which does not apply to the organization's 2,700 Pakistani employees, will be re-evaluated in three months, according to the official, who spoke on condition of anonymity in the absence of authorization to discuss the relocation. Improvements in the country's security could shorten the relocation.",U.N. to Cut Foreign Staff In Pakistan For Safety,0
147,"Kevin Durant spent only one of the last 10 years as a college player, but it was a memorable season. That 2006-7 campaign, in which he started all 35 games alongside three fellow freshmen and led Texas into the N.C.A.A. tournament, ended with multiple national player of the year honors. ''Kevin was the best,'' Longhorns Coach Rick Barnes said, ''regardless of class.''",Short Stays That Produced Lasting Results,0
148,"PBS's ''Nightly Business Report'' is by some measures the most popular business news program on television. Come Monday, the half-hour show, whose executives worried that it had become too stodgy with its screens of stock quotes, will begin to introduce a major redesign, the second of PBS's weekday news programs to get a facelift in recent weeks. The change starts at the top: Paul Kangas, who has been with the show since its debut 30 years ago and an anchor since 1990, retired Thursday. His successor, Tom Hudson, will take over on Monday, anchoring from Miami, where ''Nightly Business Report'' is produced by the public station WPBT. He will join the co-anchor Susie Gharib, who will continue to be based at the New York Stock Exchange.",PBS Revamps 'Nightly Business' to Stress Analysis,0
149,"A NEW month bequeaths a new year bequeaths a new decade and -- dare anyone hope -- maybe a new lease on life for the economy, which took its toll on the arts in 2009 as it did on everything else. Critics and reporters for The New York Times have peered deeply into January and found cultural offerings that say encouraging things about the year ahead. A new production of Bizet's ''Carmen'' can be seen in repertory at the Metropolitan Opera this month, and Pierre Boulez comes to Carnegie Hall to pick up the baton, not once but twice in January. Almost all the known drawings of the Mannerist master Bronzino go on view at the Metropolitan Museum of Art on Jan. 20, the museum's first exhibition devoted to him. A new Anne Tyler novel arrives in bookstores, along with a biography of Warren Beatty and a much anticipated follow-up to the best seller ''Eat, Pray, Love,'' by Elizabeth Gilbert. Experimental theater colonizes Manhattan, at the Public Theater and other locations, in the form of the Under the Radar Festival, which opens on Wednesday. And on the same day you could watch Willem Dafoe play Elvis -- no not that one, but a ''cured'' vampire by that name in ''Daybreakers,'' the new thriller by Peter and Michael Spierig about the world toward the end of the next decade, 2019, when vampires outnumber humans on earth.",The New And Eternal As a Decade Commences,0
150,"The gripping production updates the Seville setting from the 1830s to the 1930s, but is otherwise quite traditional.",A New &#8216;Carmen&#8217; at the Met ,0
151,"Darfur, Sudan's enormous western region that has become virtually synonymous with conflict, seems to be stuck between war and peace.",Between War and Peace ,0
152,"After one of the most volatile decades in Wall Street history, Thursday brought a glimmer of hope, as optimism over the strength of economic recovery helped keep markets near their highest levels in 14 months. When the final bell of 2009 sounded, shares were down substantially for the day, falling sharply in the final minutes. But that did little to damp enthusiasm over what has been a stunning comeback year for the stock market. The Dow Jones industrial average climbed 18.8 percent in 2009, the Standard & Poor's 500-stock index rose 23.5 percent, and the technology-dominated Nasdaq was up 43.9 percent -- the largest gains since 2003.",A Late Slide For the Year Of the Rally,0
153,"FROM THE FRINGE The New Victory Theater begins the year with a show that's definitely not just for kids, although it is actually performed by a troupe of 13 rambunctious adolescents. The admonitory title, ''Once and for All We're Gonna Tell You Who We Are So Shut Up and Listen,'' belies the fundamental sweetness and obliqueness (and the shortness!) of the show, which was one of the standout productions at the Edinburgh Festival Fringe two summers ago.","Experimental Artists, Introspective Plays",0
154,"The deaths of seven Central Intelligence Agency operatives at a remote base in the mountains of Afghanistan are a pointed example of the civilian spy agency's transformation in recent years into a paramilitary organization at the vanguard of America's far-flung wars. Even as the C.I.A. expands its role in Afghanistan, it is also playing a greater role in quasi-military operations elsewhere, using drone aircraft to launch a steady barrage of missile strikes in Pakistan and sending more operatives to Yemen to assist local officials in their attempts to roll back Al Qaeda's momentum in that country.",C.I.A. Takes On Expanded Role On Front Lines,0
155,"Rachel Wetzsteon, a prominent poet whose work was known for its mordant wit, formal elegance and cleareyed examination of the solitary yet defiant lives of single women, was found dead on Monday at her home in Manhattan. She was 42. Ms. Wetzsteon, who died apparently late on Dec. 24 or early on the 25th, committed suicide, said her mother, Sonja Wetzsteon. She had been severely depressed in recent months, partly over the breakup of a three-year romance, her mother said.","Rachel Wetzsteon, 42, Poet Who Mixed Melancholy and Wit",0
156,"LIETH--Dolores (nee Nutt), passed away peacefully in her 93rd year at Cabrini Center for Nursing and Rehabilitation, surrounded by family, after a long battle with Alzheimer's Disease. Born in Brooklyn, she attended John Adams High School, and Kings County Nursing School. During World War II she served in the US Army, and worked at Kings County Hospital Center most of her career. Dolores was predeceased by her husband, Stanley. She is survived by her sister, Cecilia, her daughter Leslie Lieth Tedeschi (Philip), sons Douglas (Claire) and William (Suzanne), grandchildren Paul and Kay Tedeschi, Ryan Lieth, and numerous nieces and nephews. Visitation at Gannon Funeral Home 152 East 28th Street NYC on Friday 2-4 and 7-9pm. Mass of Christian burial on Saturday 9:30am at St. Ignatius Loyola. In lieu of flowers, donations may be made in her memory to Regis HS, 55 E. 84th Street, New York, NY 10028 or Cabrini Center for Nursing and Rehabilitation 542 East 5th Street, New York, NY 10009.","Paid Notice: Deaths  LIETH, DOLORES (NEE NUTT)",0
157,"CLASSICAL MUSIC Pierre Boulez is conducting two renowned orchestras at Carnegie Hall in close succession. In mid-January he shares the podium with Daniel Barenboim in a series with the Vienna Philharmonic, and he ends the month leading the Chicago Symphony.","Around the City, A Wide Range of Sounds",0
158,"SCHEINMAN--Alan. Happy birthday. 18 years of missing your smile and laughter. Forever in our hearts. Love, Roni, Phil, Greg, Kate, Auden, Harper, Sandy and Jarret","Paid Notice: Memorials  SCHEINMAN, ALAN",0
159,"Tennessee Titans running back Chris Johnson needs 128 rushing yards Sunday to reach 2,000, the only benchmark N.F.L. fans really care about. Football fans love statistics; they'd say so if they weren't so busy updating their fantasy rosters. But N.F.L. records and plateaus hold little interest for most. There are no hallowed numbers, like a .400 batting average, a 20-win season, or 3,000 career hits, for players to spend their lifetimes chasing. There's 2,000 rushing yards -- achieved by just five players, including the record holder and Hall of Famer Eric Dickerson -- and there are a lot of ho-hum accomplishments.",Titan Chasing a Rare Mark That Matters,0
160,"SCHEINMAN--Alan. Happy birthday. 18 years of missing your smile and laughter. Forever in our hearts. Love, Roni, Phil, Greg, Kate, Auden, Harper, Sandy and Jarret","Paid Notice: Memorials  SCHEINMAN, ALAN",0
161,"Tennessee Titans running back Chris Johnson needs 128 rushing yards Sunday to reach 2,000, the only benchmark N.F.L. fans really care about. Football fans love statistics; they'd say so if they weren't so busy updating their fantasy rosters. But N.F.L. records and plateaus hold little interest for most. There are no hallowed numbers, like a .400 batting average, a 20-win season, or 3,000 career hits, for players to spend their lifetimes chasing. There's 2,000 rushing yards -- achieved by just five players, including the record holder and Hall of Famer Eric Dickerson -- and there are a lot of ho-hum accomplishments.",Titan Chasing a Rare Mark That Matters,0
162,"As parade floats were being prepared nearby and workers busied themselves with final touches to the Rose Bowl, the 87-year-old stadium looked as ready as ever for the two close-ups it will receive in the next week. First, it will host, as it always does, the Rose Bowl game on New Year's Day. Then, six days later, it will be home to the Bowl Championship Series title game. But as Darryl Dunn, the general manager of the stadium, stood in the middle of an immaculately manicured field, an enormous red rose painted in the center, his gaze carried beyond the elliptical, tree-lined rim of the Rose Bowl and past the San Gabriel Mountains, which frame it.",Rose Bowl Hopes to Bet Future on a Makeover,0
163,"Shareholders of Marvel Entertainment, the publisher of Spider-Man and the Hulk comics, on Thursday approved the company's acquisition by the Walt Disney Company, as expected. Marvel said the $4.3 billion acquisition would close at the end of the day, bringing Spider-Man, Iron Man and 5,000 other comic-book characters under the same roof as Mickey Mouse and Donald Duck.","Marvel Shareholders Accept Sale to Disney, as Expected",0
164,Which cultural offerings in the first few weeks of the New Year are worth a look? Three art critics and a book reporter for The New York Times present their choices.,Downtime At New Year? It's Filled,0
165,"If a defense lawyer, a prosecutor and a judge walked into a concert hall, what would be the first thing they would do? ''Spend a half-hour arguing legal motions,'' David Waller, a longtime Los Angeles lawyer, said one of his colleagues told him on learning of his plans to tote his cello to a rehearsal of the fledgling Los Angeles Lawyers Philharmonic Orchestra. That night, in the fall, players had just two hours to run through Brahms's Hungarian Dance No. 5, Grieg's ''Triumphal March'' and a rousing John Philip Sousa number, followed by another couple of classical and pops pieces.","To Get to This Orchestra? Law Practice, Law Practice",0
166,"CHAO--I-Tsu, of Ridgewood, formerly of Brooklyn, NY. He was a medical doctor specializing in allergy. He worked in hospitals in Canada and the United States, and for the last 38 years had his own private practice. He was able to help patients control their asthma and other severe chronic allergies with minimal to no pharmacology. He was well loved by his patients for the generous amount of time and great care he gave them. He is survived by his wife Chu-In, his children, Sally Liang of Ridgewood, Andy Chao of Tenafly, Peggy Chao-Boyce of Ridgewood and his six grandchildren. Services entrusted to Feeney Funeral Home, Ridgewood, NJ.","Paid Notice: Deaths  CHAO, I, TSU",0
167,"The most dominant team of the last decade was indisputably the University of Connecticut women's basketball team, which won five national titles, two of them achieved with perfect 39-0 seasons. Consider this: Since losing to Stanford in the 2008 national semifinals, UConn has won 50 consecutive games, all by double figures.",Dominant Teams Were Also Hugely Engaging,0
170,"There will be no traditional inauguration party. No grand entrance at City Hall for the mayor. Not even the usual constellation of celebrities like Liza Minnelli, Al Leiter or Wynton Marsalis. When Mayor Michael R. Bloomberg is sworn in at a ceremony at noon on Friday for the third and presumably final time, it promises to be a muted and no-frills affair, in contrast to his first two trips to the ceremonial stand.","For Bloomberg Inaugural, The 3rd Time Is Low Key",0
171,"OPERA SINGERS By early January, no doubt, opera buffs will be abuzz with reactions to the Metropolitan Opera's new production of Bizet's ''Carmen,'' which opened on New Year's Eve.","Around the City, A Wide Range of Sounds",0
172,"Like hundreds of thousands of other young people, Jesus Pesquero Peñas dropped out of school to go to work when the Spanish economy was booming. But since he was laid off from his construction job two years ago, he has been living on unemployment benefits. Now Mr. Peñas finds himself part of a lost generation in Spain, where unemployment among people ages 16 to 24 is 42.9 percent, the highest in Europe, and more than double the overall rate.","Young, Down and Out in Europe",0
174,"-- The question is: Can you call it a fishing cabin if no actual fishing takes place there? It fronts a river, so I'm safe on that count, and a pair of waders does hang in the closet. The ''cabin'' part is a little harder to justify, given that it's clad in white vinyl rather than rough-hewn logs. What to call the place on the Delaware River in northeast Pennsylvania where I come on weekends has been bothering me for a few years now, ever since I became one of those urban dwellers who believe that their happiness in the city hinges on having a place in the country -- which they then have to work longer hours, in the city, to afford.",A Big Old Fish Story of a Riverfront Cabin,0
175,"IT seems so distant, 1999. Bill Clinton had survived impeachment, his popularity hardly dented, Sept. 11 was just another date and music fans were enjoying a young singer named Britney Spears.",It's Always the End of the World as We Know It,0
176,"FLANAGAN--Peter, President Emeritus of the Life Insurance Council of New York, died December 28, 2009 at the age of 79. Peter was predeceased by his wife Gloria and is the father of eight children; Joseph (Jackie), Elizabeth (John), Donna, Peter (Rachel), Jeremy, Arthur, John and Patrick (Eva). Proud grandfather to eleven grandchildren. He will be waked at the Andrett Funeral Home, 21st St. and 2nd Ave., on December 31 from 1-4 and January 1, 2010 from 2-5. Funeral Mass is at Epiphany Church of New York City, Saturday, January 2, 2010 at 11am. In lieu of flowers, please send donations to the Center for Discovery, P.O. Box 840 Benmosche Road, Harris, NY 12742-0840 in memory of Peter Flanagan.","Paid Notice: Deaths  FLANAGAN, PETER",0
177,"Brandon Dubinsky's goal at 11 minutes 49 seconds of the third period Thursday night gave the Rangers a 2-1 victory against the host Carolina Hurricanes. Dubinsky, who called the Rangers' 6-0 loss to Philadelphia on Wednesday the worst N.H.L. game he had ever played, scored the winner off an assist from Marian Gaborik. Gaborik, who has 26 goals this season, became the fourth N.H.L. player to reach 50 points this season. He assisted on both goals.",Rangers Rebound to Edge the Hurricanes,0
178,"The lead producer of the Broadway production of ''Ragtime'' said the musical revival, which had been scheduled to close on Sunday, will instead run for one additional week because of demand from theatergoers. The producer, Kevin McCollum, who on Monday announced a closing date of Jan. 3, said on Wednesday that after that news ticket sales had ''increased strongly,'' and that he and his fellow producers believe there would be solid audience demand for the show through next week. Mr. McCollum said the revival must close Jan. 10 to clear the way for the production following ''Ragtime'' into the Neil Simon Theater. That production has yet to be announced. Asked what had changed between Monday and Wednesday afternoon, Mr. McCollum said: ''It's demand. It's that people were waiting to see 'Ragtime,' and they know it's still here, so we're getting a great amount of interest in tickets.''",Ragtime' Gets A Week's Reprieve,0
179,"The N.F.L. fined the Tennessee defensive coordinator Chuck Cecil $20,000 for verbal abuse of a game official for his sideline comments in the Titans' 42-17 loss to San Diego on Dec. 25. The Titans had just been flagged for roughing Philip Rivers when an official heard Cecil say something. The Titans were penalized another 15 yards for unsportsmanlike conduct.",N.F.L. Hands Out Fines,0
180,"Umar Farouk Abdulmutallab, the Nigerian man accused of trying to bomb an airplane last week, already spoke fluent Arabic by the time he arrived here in Yemen for classes last summer, impressing his instructors with his command of the language he had supposedly come to improve. Then, after he spent six weeks in and out of class, the school got him an exit visa, and on Sept. 21 even arranged for a car that took Mr. Abdulmutallab to the airport, the director said.",Nigerian May Have Used Course in Yemen as Cover,0
181,"Tiger Woods needs a brand-new bag. AT&T, whose logo had been emblazoned on Woods's golf bag, said Thursday that it was ending its sponsorship agreement with him. In a brief statement, the company said it wished him well in the future.",AT&T Is the Latest to Drop Woods,0
182,"Montana, the Football Championship Subdivision runner-up this season, promoted its wide receivers coach, Robin Pflugrad, to head coach. He replaces Bobby Hauck, who was named the coach at Nevada-Las Vegas after going 80-17 in seven seasons at Montana with three appearances in the national championship game. (AP) Stump Mitchell, the running backs coach and assistant head coach of the Washington Redskins, has been offered the coaching job at Southern University. Southern fired Pete Richardson after 17 years, including a 6-5 season in 2009. Mitchell said he would make a decision after the Redskins' season ends Sunday. (AP)",Montana Promotes Coach,0
184,"DANCE In New York, the dance New Year starts on Jan. 5: new year because of new work. Pacific Northwest Ballet is at the Joyce Theater on Tuesday through Jan. 10 with a quadruple bill of pieces hitherto unseen in New York. Here the great point of interest is ''Opus 111,'' made by one of the few choreographers today capable of greatness, Twyla Tharp, to a Brahms string quintet. (Ms. Tharp made it for this Seattle company in 2008, a year in which she choreographed for three of America's leading ballet troupes.) The company also presents the New York premieres of ''3 Movements'' by Benjamin Millepied, set to music by Steve Reich; ''Für Alina'' by Edwaard Liang; and ''Mopey'' by Marco Goecke.","Experimental Artists, Introspective Plays",0
185,"The N.F.L. fined the Tennessee defensive coordinator Chuck Cecil $20,000 for verbal abuse of a game official for his sideline comments in the Titans' 42-17 loss to San Diego on Dec. 25. The Titans had just been flagged for roughing Philip Rivers when an official heard Cecil say something. The Titans were penalized another 15 yards for unsportsmanlike conduct.",N.F.L. Hands Out Fines,0
186,"Fulham has lent the American forward Eddie Johnson to the Greek club Aris through June. Johnson, 25, has made only four appearances and one start for the Cottagers this season. He left Major League Soccer's Kansas City Wizards to sign with Fulham in January 2008, then was lent to Cardiff City for the 2008-9 season. Last month, he made his first appearance for the United States national team since June 2008.",From Fulham To Greece,0
187,"Brandon Dubinsky's goal at 11 minutes 49 seconds of the third period Thursday night gave the Rangers a 2-1 victory against the host Carolina Hurricanes. Dubinsky, who called the Rangers' 6-0 loss to Philadelphia on Wednesday the worst N.H.L. game he had ever played, scored the winner off an assist from Marian Gaborik. Gaborik, who has 26 goals this season, became the fourth N.H.L. player to reach 50 points this season. He assisted on both goals.",Rangers Rebound to Edge the Hurricanes,0
188,"The lead producer of the Broadway production of ''Ragtime'' said the musical revival, which had been scheduled to close on Sunday, will instead run for one additional week because of demand from theatergoers. The producer, Kevin McCollum, who on Monday announced a closing date of Jan. 3, said on Wednesday that after that news ticket sales had ''increased strongly,'' and that he and his fellow producers believe there would be solid audience demand for the show through next week. Mr. McCollum said the revival must close Jan. 10 to clear the way for the production following ''Ragtime'' into the Neil Simon Theater. That production has yet to be announced. Asked what had changed between Monday and Wednesday afternoon, Mr. McCollum said: ''It's demand. It's that people were waiting to see 'Ragtime,' and they know it's still here, so we're getting a great amount of interest in tickets.''",Ragtime' Gets A Week's Reprieve,0
189,"MORE THEATER Young Jean Lee pounces on big themes in her plays -- Christianity (''Church''), African-Americans (''The Shipment''), Asians (''Songs of the Dragons Flying to Heaven'') -- with a provocative, unbalanced and satirical sensibility. It's like looking through glasses with one cracked lens.","Experimental Artists, Introspective Plays",0
190,"<!-- MORTON M ROSS -->ROSS--Morton M., 94, died peacefully at home Thursday, December 31st, 2009. Cherished brother of Leonard, loving father of Regina and MayLisa and their husbands Derek and John and beloved grandfather of Casey, Kylie, Gabrielle and Rachel. Services private. In lieu of flowers, donations may be made to Mt. Sinai Visiting Doctors would be appreciated.<br><br>
 ","Paid Notice: Deaths  ROSS, MORTON M.",0
191,The city that was divided by the Central Artery has been knit back together.,Along Boston’s Harbor,0
192,"Despite hiring a young coach with an underwhelming resume, Auburn has spent the majority of this season in the shadow of Tennessee and its rookie coach, Lane Kiffin. This has been a luxury at times -- especially when you lose five of your last six against F.B.S. competition -- and unfortunate at others, such as during a 5-0 start. Northwestern, which actually lost to Syracuse, can commiserate with Auburn's up-and-down play. However, unlike Auburn, Northwestern played its best football in the final month, ending the year with wins over Iowa and Wisconsin.",Outback Bowl: Northwestern (8-4) vs. Auburn (7-5),0
193,"Somewhere Over the Rainbow, Zeppelin Profits Wait | The 246-foot zeppelin ""Eureka,"" which has been flying out of Mountain View's Moffett Field for 14 months now, already could contend for many prizes: First dirigible to fly over the United States in more than 70 years, largest craft of its type in the country (almost 60 foot longer than the Goodyear blimp), and so forth. But it is also in contention for a more dubious award: worst timing for the launch of a high-end tourist-and-advertising venture. In 2007, the Bay Area seemed ideal for all three of the company's planned revenue streams, from fees for scientific research to its $495-per-head tickets. Now the question is whether it can float above the roiling economy long enough to come to a safe and profitable landing.",Can the Zeppelin Stay Aloft? Highlights of Our Bay Area Report for Friday,0
194,"From silver to pearl gray, a fresh fashion color was worn by many during the holiday season.",On the Street | Quicksilver,0
196,"For the second time today, the Southeastern Conference will meet the Big Ten. The competition between the two power conferences has been relatively lopsided in recent years, most notably in the national championship game. The general feeling is that teams from the Big Ten lack the team speed to stay with teams from the SEC. To be honest, it's difficult to argue with that stance. In terms of this matchup, Penn State can take solace in the fact that it is simply more consistent on offense, a side of the ball that has given L.S.U. fits over the past two seasons.",Capital One Bowl: No. 13 Penn State (10-2) vs. No. 12 L.S.U. (9-3),0
197,"This week's Barbary Coast column is about people who have become millionaires running medical marijuana dispensaries. Some are trying to give away their new-found wealth, but often charities won't take it due to the legal gray zone of the money's origin. Selling pot is still a federal crime.",The Last Remaining AIDS Hospice in California,0
198,"You owe it to Bobby Bowden, the departing Florida State coach, to watch this game. If you're not a West Virginia fan, you owe it to Bowden to root for the Seminoles. This is especially true if you're upset about the manner in which the university severed its relationship with the legendary coach, who is responsible for making the program into the power it was for decades and the team it is today. Unfortunately, what it is today is an average team, an unfitting end for a coach who certainly ranks among the best in the history of the sport. The 34-year F.S.U. coach has seemingly come full circle; he began his major college coaching career at West Virginia, and is hoping to avoid his first losing season since 1976, his first year in Tallahassee.",Gator Bowl: No. 16 West Virginia (9-3) vs. Florida State (6-6),0
199,"As the year drew to a close, linguistic authorities from around the globe were busy selecting the words that defined 2009, and the decade.",Words of 2009 and the 2000s,0
200,In Today's Times:,"The Weekend Word: New Year, Old Issues",0
201,All games are Sunday. All times Eastern.,Week 17 N.F.L. Matchups,0
202,"Say goodbye to 2009 by taking our 15-question quiz. After you answer each question, click on the related resource to see a Times article, Topic Page, blog post or timeline. (For a print version of the quiz, download this PDF.)","Special News Quiz | Farewell, 2009",0
203,Uwe E. Reinhardt is an economics professor at Princeton.,Is 'Community Rating' in Health Insurance  Fair?,0
204,"ROME, N.Y. -- Rome wasn't built in a day. Neither was the Erie Canal. But the canal -- which along with New York City's harbor gave the emerging metropolis a key advantage in its rise to economic pre-eminence in the 19th century -- started here in Rome.",On the Road: Where the Erie Canal Started,0
205,"The B.C.S. begins its controversial season with the Rose Bowl (Game Presented by Citi), which pits the champions of the Big Ten, Ohio State, against Oregon of the Pac-10. For Ohio State, this game presents another shot at redemption. The Buckeyes have become a punchline for bowl season incompetence because of their three consecutive B.C.S. setbacks, including losses to Florida and L.S.U. in consecutive national championship games. For Oregon, the Rose Bowl can serve as another high note in a year to remember. Before we forget, these Ducks experienced what looked to be a monumental defeat in the season opener against Bose State; I can admit I thought Oregon would not recover from that 19-8 loss. Recover it did, and its enters this game with a very good chance at winning the program's first Rose Bowl since 1917.",Rose Bowl: No. 8 Ohio State (10-2) vs. No. 7 Oregon (10-2),0
206,"It's hard to believe that a decade ago, there was no Facebook, iPhone, Wikipedia or YouTube. Almost shocking, considering how those entities have shaped a culture around the Internet, disrupted business models and affected how and what information was shared through the Web.",Five Tech Themes for 2010,0
207,"We are a group of women verging on old, old age. We have known each other for more than 40 years and are closing in on 80. We are beyond face-lifts and Botox. Most of us will not opt for hip replacements or assisted living (yet). We travel around the world, to Rome, France and the Galapagos. We garden and paint our walls. We do yoga and swim at the Y. We go to the theater and the opera. We volunteer time and energy to community services: housing help, food pantries, the historical society. Our icebergs loom offshore, but we're not dead yet.",Complaint Box | Why Whine?,0
208,"Television begins to pull itself out of the repeat doldrums this weekend, with a few new series and new episodes turning up amid the sporting events. MSNBC, after an all-day marathon of ""Lockup"" repeats, offers the premiere of a prison reality show with a twist: ""The Squeeze,"" at 10 p.m., follows the Cook County Sheriff's Criminal Intelligence Unit as it tries to squeeze information out of Chicago inmates. The assessment of chicagonow.com: ""The C.I.U. agents viewers meet are all about their work, not promoting themselves -- a refreshing change from other shows of this kind.""","What to Watch This Weekend: Cops, Dogs and Dr. Who",0
209,A happy and healthy New Year to you all from us at Slap Shot. The Winter Classic on Friday between the Flyers and the Bruins should be a great way to ring in the new year.,The Morning Skate: A Pivotal Decade in Hockey,0
210,"Update | 4:44 p.m. Upon further review of the video -- and careful consideration about strengthening the prescription of my eyeglasses -- it appears I mistakenly identified one of the Nano travelers as my friend Gautam Sen. Instead, it was Gautam Raisinghani in the video, and I thank him for alerting me to the misidentification.",Classic Car Encounters in India,0
211,"UTICA, N.Y. -- The demolition in 1963 of New York City's Pennsylvania Station, a soaring masterpiece designed by McKim, Mead & White, gave way to the haphazard jumble of subway and train lines that grimly greet visitors today. It also gave rise to the landmarks preservation movement, and plans, long stalled but still under discussion, to convert the Farley Post Office Building on Eighth Avenue into a new train station, named in memory of Senator Daniel Patrick Moynihan.",On the Road: A Gem of the Railroad Era,0
212,"By the time we reach middle age, it often feels like our brains aren't quite what they used to be. We get distracted, lose car keys and forget the name of the person we just met. Is there a way to train the middle-aged brain to do better? New York Times health editor Barbara Strauch writes:",Training a Middle-Aged Brain,0
213,"As we have seen, a range of authorities have collected the words that define the social, economic and geopolitical trends of 2009.",Weekend Competition: Vocabularyear,0
216,"They talked all night, and they are still talking.",A Little Headway in the New Year?,0
217,"In this week's Your Money column, I look at the lost decade thesis and find it wanting.",Was It a Lost Decade for Your Investments?,0
218,"It's a quiet week for the Graphic Books Best Sellers with no new books -- whether hardcover, softcover or manga -- entering the list. At the comic-book stores, things were almost as silent. Each Wednesday -- new comic-book day for those in the know -- normally brings a flood of titles from DC, Marvel and other publishers. This week, there were two: ""Fall of the Hulks,"" which helps solve the mystery of why there is a green Hulk and a red Hulk running around the Marvel Universe, and ""Blackest Night"" No. 6, the latest chapter in the Green Lantern series that involves all the heroes of the DC Universe.",Graphic Books Best Sellers: Hulk Mystery Explained,0
219,"In today's Patient Money column, Lesley Alderman writes about the lengths consumers will go to battle cold and flu symptoms.",Smart Spending on Cold and Flu Remedies,0
220,"The actress Sandra Bullock, who appeared in the hit films ""The Blind Side"" and ""The Proposal,"" has been named the top box-office draw of 2009 in a survey of theater owners and executives, Reuters reported. Ms. Bullock, who appeared in a number of clinkers in recent years and had been absent from screens since 2007, is the first woman to win that distinction since Julia Roberts exactly a decade ago. Johnny Depp was second on the annual list, which seeks to measure both box office success and audience appeal, and was followed by Matt Damon, George Clooney and Robert Downey Jr. Ms. Bullock's two hits, one a romantic comedy and the other a drama, grossed more than $500 million last year; she also starred in and produced ""All About Steve,"" which took in only $34 million in North America and received overwhelmingly negative reviews.",Sandra Bullock Named Top Box-Office Draw,0
221,"The Musée du Luxembourg in Paris will close when its current exhibition, a display of Tiffany glass works, ends on Jan. 17, the French government has announced. The museum, housed in the Luxembourg Palace, has drawn more than 5.5 million visitors since its administration was turned over to a private company in 2000, including shows focusing on Modigliani, Botticelli and the holdings of the Phillips Collection in Washington. But according to the Paris daily Le Monde, museum administrators and the French Senate, which controls the museum building, have quarreled, and the Senate has decided to reassert its control. As a result, two planned exhibitions, including one on Impressionism, have been canceled and 100 full- and part-time employees are to be laid off.",Luxembourg Museum to Close,0
222,"In a decision that may have implications for both Hollywood and Broadway, the Australian actress Cate Blanchett has announced that she will extend her term as artistic director of the Sydney Theater Company until 2013. Ms. Blanchett and her husband, the Australian playwright, screenwriter and director Andrew Upton, jointly took on that post for a three-year term that began in 2008, and since then have enlisted Oscar winners such as Steven Soderbergh and Philip Seymour Hoffman in company productions. ""We hope more and more people, especially those in Sydney, will find their way to the company and join us on this incredible ride,"" the couple said in a statement Friday, according to The Australian. It was not immediately clear what impact their decision would have on efforts to bring to Broadway a version of the production of Tennessee Williams's ""Streetcar Named Desire,"" starring Ms. Blanchett and directed by Liv Ullmann that was recently presented at the Brooklyn Academy of Music.",Blanchett and Upton Re-Up at Sydney Theater Company,0
223,"Where did David Tyree come up with the catch of a lifetime - easily the greatest play in the N.F.L. this decade and perhaps the greatest in Super Bowl history - when he pinned the football against the side of his helmet with his right hand as Rodney Harrison desperately dragged him down? When would there ever again be a game more meaningful than the Giants' 17-14 victory over the Patriots on Feb. 3, 2008, in Super Bowl XLII?",The Decade in the N.F.L.: Securing a Place in History,0
