,lead_paragraph,headline,uplifting
278,"Dr. James L. Goddard, who as a brash, crusading commissioner of the Food and Drug Administration in the 1960s helped revolutionize the federal government's methods of evaluating drugs, died Dec. 18 in Laguna Woods, Calif. He was 86. His son, Bruce, said the cause was a brain hemorrhage.","James L. Goddard, Crusading F.D.A. Leader, Dies at 86",0
279,"<!-- LEAH  SILVER -->SILVER--Leah, 89, of Tenafly, NJ, passed away December 31. Loving wife of Arnold Silver; devoted mother of Robert, Steven and Deborah Silver; cherished grandmother of Samantha Steiber, Emma Steiber, Jacob Steiber, Molly Silver, Zoe Silver, Emily Silver and Daniel Silver; beloved sister and aunt. Born in 1920, Leah was one of only a few women in her class at Dwight Morrow High School in Englewood, NJ, to attend college. After graduating from Moravian College in Pennsylvania, she attended Columbia University School of Social Work and led the way in the field for many years. Her astonishing creativity, keen intellect, dynamic spirit, inner strength and generous heart shone through all that she did. She was an insightful writer and a wonderful artist. She read voraciously, honored her Jewish heritage, embraced the arts, traveled with enthusiasm, and danced with grace. She was the heart and soul of her family, creating a home filled with unconditional love and support. She will be greatly missed. Services will be held at 11:30am, Sunday, January 3 at Robert Schoem's Menorah Chapel, W-150 Rte. 4 East, Paramus, NJ.<br><br>
 ","Paid Notice: Deaths  SILVER, LEAH ",0
280,"John Wooden's jersey hangs from the rafters of Mackey Arena, which adds to the almost holy perception that basketball in Indiana has to be played with precision and modesty. The first pass can never be the last pass, chemistry matters, teamwork above all else. No. 4 Purdue (13-0) does all those magnanimous things, but then it can go off the bounce as if it were at the playground and say, ''The heck with the playbook.''","In Their Own Quiet Way, Boilermakers Are Making Some Noise",0
281,"It was a decade that began with such promise. Stock markets in Europe and America ended the 1990s at record levels, and even bedraggled Japan was at a two-year high. ''Dow 36,000'' was on some best-seller lists. Instead, it became a decade that richly earned the name ''the zeros.'' For the entire developed world, that was just about the decade's total return.","For Stocks in the Developed World, It Was a Decade of Zeros",0
282,"Every few months for the last four and a half years, someone driving the back roads here in Jefferson Davis Parish has come across a body. They fit the same pattern: The bodies have been those of young women raised by extended families in the nearby towns of Lake Arthur and Jennings. At some point, the women lost their footing and succumbed to the undercurrent of drugs and prostitution that has been steadily eating away at the parish.","8 Deaths in a Small Town, and Much Unease",0
283,"Roger Cohen has suggested that ''doing nothing'' is the best policy toward Iran. A wise position until the recent demonstrations. Today, gangs murder moderate opponents in order to terrorize those who dare to speak out for justice. It is time for the international community to take action. Since June, the traditional balance of power under the arbitration of the supreme leader has come to an end. Violations of the principles of the Islamic Republic have unified varied components of the society. Some are not democrats in a Western sense. They celebrate the spirit of justice of Ayatollah Ruhollah Khomeini.",A Moratorium on Sanctions,0
284,"The National Basketball Association and law enforcement officials are investigating the circumstances in which Washington Wizards guard Gilbert Arenas carried unloaded firearms into the team's locker room, and whether he presented any guns during an argument with his teammate Javaris Crittenton. Arenas, a three-time All-Star who turns 28 next week, admitted to carrying firearms last week before transferring them to team security. That the focus of the inquiry involves a dispute between the teammates was first reported by Yahoo Sports and The New York Post.",Wizards Gun Inquiry Focuses on Dispute,0
285,"Queen Elizabeth's annual honors list, announced at midnight on the last day of each year to recognize distinguished service to Britain, includes a knighthood for the actor Patrick Stewart, right, better known to devotees of ''Star Trek: The Next Generation'' as Capt. Jean-Luc Picard and to fans of the ''X-Men'' movie series as Prof. Charles Xavier. Also knighted was the artistic director of the National Theater in London, Nicholas Hytner, whose credits include ''Miss Saigon'' and the film and stage versions of ''The Madness of King George.'' Arts figures also appear among those receiving the distinction of membership in the Order of the British Empire, the next level down from a knighthood. The jazz pianist Marian McPartland, the longtime host of National Public Radio's ''Piano Jazz'' program, received the honor, as did Rick Parfitt and Francis Rossi, songwriting partners and singer-guitarists in the boogie rock band Status Quo. They were joined on the list by the Scottish film composer and producer Craig Armstrong, and Peter Tear, executive director of the Off Broadway 59E59 Theaters.",Knighthood For Stewart,1
286,"<!-- GEORGE  SIMKO -->SIMKO--George J., 74, passed away at home, surrounded by family, on December 30, 2009. George enjoyed a successful 43-year career in the advertising and marketing communications industry. Starting in the mailroom of Kenyon & Eckhart, Inc. in 1953, he rose through the ranks of K&E, and then D'Arcy, Masius, Benton & Bowles, Inc., where he spent 36 years. During his career George served in a wide variety of executive positions. He was Director of Media Management at DMB&B in the 1970's when the department was regarded as the leading media and programming operation in the industry. He then was named President of the Diversified Communications Division of DMB&B, overseeing its public relations, sales promotion, direct marketing and health care companies. George finished his career as President of the European and Middle Eastern operations of DMB&B based in London, and Chairman of the Executive Committee of DMB&B, retiring in 1996. George served as a Director of the Muscular Dystrophy Association for 10 years, using his media and programming expertise to help build the 24-hour Jerry Lewis Labor Day Telethon into one of the most successful fundraising endeavors in television history. He also spent a decade serving on the Board of Directors of the media industry's Audit Bureau of Circulations. Beloved husband of Mary, cherished father of Caroline and Christopher, admired father-in-law of Hans Olsen, honored brother of Ed, Barbara and Raymond, and loving uncle to numerous nieces and nephews. Visitation on Tuesday, January 5 from 2-5pm and 7-9pm at Oyster Bay Funeral Home, 261 South Street, Oyster Bay, NY. Mass of Christian burial on Wednesday, January 6 at St. Dominic R.C. Chapel, 93 Anstice Street, Oyster Bay, NY. Interment at Locust Valley Cemetery, Ryefield Road, Locust Valley, NY.<br><br>
 ","Paid Notice: Deaths  SIMKO, GEORGE ",0
287,"SIMKO--George. The Bostock Family mourns the death of our dear friend, George Simko. We cherished his zest for life, his great wit and sense of humor, his intellectual curiosity and capacities, and will always remember him with joy and love. He was a legend in the advertising and communications industry, serving in many executive positions while being a successful mentor, confidant and partner to scores of colleagues during his remarkable 43 year career. We extend our heartfelt and deepest sympathies to his beloved family. Merilee and Roy Bostock","Paid Notice: Deaths  SIMKO, GEORGE",0
288,"SILVER--Leah, 89, of Tenafly, NJ, passed away December 31. Loving wife of Arnold Silver; devoted mother of Robert, Steven and Deborah Silver; cherished grandmother of Samantha Steiber, Emma Steiber, Jacob Steiber, Molly Silver, Zoe Silver, Emily Silver and Daniel Silver; beloved sister and aunt. Born in 1920, Leah was one of only a few women in her class at Dwight Morrow High School in Englewood, NJ, to attend college. After graduating from Moravian College in Pennsylvania, she attended Columbia University School of Social Work and led the way in the field for many years. Her astonishing creativity, keen intellect, dynamic spirit, inner strength and generous heart shone through all that she did. She was an insightful writer and a wonderful artist. She read voraciously, honored her Jewish heritage, embraced the arts, traveled with enthusiasm, and danced with grace. She was the heart and soul of her family, creating a home filled with unconditional love and support. She will be greatly missed. Services will be held at 11:30am, Sunday, January 3 at Robert Schoem's Menorah Chapel, W-150 Rte. 4 East, Paramus, NJ.","Paid Notice: Deaths  SILVER, LEAH",0
290,"To the Editor: I read, with somewhat resigned dismay, your article about Google's recent study of children's search habits (''Helping Children Find What They Need on the Internet,'' Business Day, Dec. 26). As a trained school librarian (and, in deference to transparency, a Google Certified Teacher), I was not surprised by the story of the failed attempts at searching by one boy, Benjamin Feshbach.",Help for Young Researchers,0
291,"The sudden blow to the case against the former Blackwater security guards over a shooting that killed 17 Iraqis and wounded at least 20 may have come as a surprise to the public in Iraq and the United States, but the legal problem that the judge cited Thursday when he threw out the indictments was obvious to American government lawyers within days of the shooting. The issue was that the guards, as government contractors, were obligated to give an immediate report of what they had done, but the Constitution prevents the government from requiring a defendant to testify against himself, so those statements could not be used in a prosecution.",U.S. Lawyers Long Knew About Legal Pitfalls in Case Against Blackwater Guards,0
292,"PARKER--Jack. Dad, 3 years now and I am still grieving. Nancy","Paid Notice: Memorials  PARKER, JACK",0
293,"SIMKO--George J.,74, passed away at home, surrounded by family, on December 30, 2009. George enjoyed a successful 43-year career in the advertising and marketing communications industry. Starting in the mailroom of Kenyon & Eckhart, Inc. in 1953, he rose through the ranks of K&E, and then D'Arcy, Masius, Benton & Bowles, Inc., where he spent 36 years. During his career George served in a wide variety of executive positions. He was Director of Media Management at DMB&B in the 1970's when the department was regarded as the leading media and programming operation in the industry. He then was named President of the Diversified Communications Division of DMB&B, overseeing its public relations, sales promotion, direct marketing and health care companies. George finished his career as President of the European and Middle Eastern operations of DMB&B based in London, and Chairman of the Executive Committee of DMB&B, retiring in 1996. George served as a Director of the Muscular Dystrophy Association for 10 years, using his media and programming expertise to help build the 24-hour Jerry Lewis Labor Day Telethon into one of the most successful fundraising endeavors in television history. He also spent a decade serving on the Board of Directors of the media industry's Audit Bureau of Circulations. Beloved husband of Mary, cherished father of Caroline and Christopher, admired father-in-law of Hans Olsen, honored brother of Ed, Barbara and Raymond, and loving uncle to numerous nieces and nephews. Visitation on Tuesday, January 5 from 2-5pm and 7-9pm at Oyster Bay Funeral Home, 261 South Street, Oyster Bay, NY. Mass of Christian burial on Wednesday, January 6 at St. Dominic R.C. Chapel, 93 Anstice Street, Oyster Bay, NY. Interment at Locust Valley Cemetery, Ryefield Road, Locust Valley, NY.","Paid Notice: Deaths  SIMKO, GEORGE J.",0
294,"Of the six flights that Temple guard Juan Fernandez took during his round-trip journey home to Argentina and back to campus last week, one was postponed by snow and another because of engine problems. As he prepared to board for the last leg out of Miami International Airport, he was detained for four hours. He had forgotten part of his paperwork. ''Delays have kind of become my thing,'' he said.",Owl Who Took Unusual Path Has the Shot to Match It,0
296,"When the Kentucky junior forward Patrick Patterson tells his younger teammates about his experiences playing against Louisville, he paints a picture of chaos on the Commonwealth's biggest stage. ''I tell them there will be fights breaking out in the crowd and alcohol spilling on the fans,'' said Patterson, who is 0-2 against the Cardinals. ''Personally, I like to read the signs. It's going to be the craziest atmosphere all year.''",Kentucky and Louisville Switch Roles on a Stage of Parochial Passions,0
297,"PLUTZER--Stephen L.,64. We mourn the loss of our beloved husband, father, grandfather, brother and friend. He will be missed by his wife Irene, daughter Jennifer, son David, daughter-in-law Marisa, granddaughter Sienna, sister Phyllis and brothers Edward and Gary. Services will be held at 11am on Sunday at Gutterman's, Rockville Centre, NY.","Paid Notice: Deaths  PLUTZER, STEPHEN L.",0
298,"<!-- JACK  PARKER -->PARKER--Jack. Dad, 3 years now and I am still grieving. Nancy<br><br>
 ","Paid Notice: Deaths  PARKER, JACK ",0
299,"<!-- DALTHEL  LING -->LING--Dalthel ""Moy"", was born September 18, 1930 in Kingstom, Jamaica. Ms. Dalthel Ling--more affectionately known as ""Aunt Moy"" to her family--died due to renal failure on Christmas afternoon much like her only daughter who had succumb to cancer Christmas 1997. Ms. Ling was a proud member of a rare ethnic subset, Chinese-Jamaican. Her love of her family was matched only by her love of world. She'd set foot on every continent in her lifetime, took a Safari in her 60s and even found her way to an Amsterdam cafe in her 70s. Ms. Ling was described as the family's matriarch, often the patron saint of lodging, and its businesswoman whose business often seemed to be the family itself. She is survived by her grandson, Collin Hunt, 29, granddaughter Julian Hunt, 27, and several cousins, nieces, nephews, extended relatives and dear friends. Friends may call Sunday, 5-8pm, January 3, 2010 at Frank E. Campbell, 1076 Madison Ave at 81st St. Service Monday, 9:30am January 4 at Frank E. Campbell. In lieu of flowers, donations will be accepted for: The Denice Johnson Hunt Endowed Fund UW Foundation, Box 359505, Seattle, WA 98195-9505.<br><br>
 ","Paid Notice: Deaths  LING, DALTHEL ",0
300,"Facing new ownership and perhaps even a new name in 2010, Tavern on the Green was given a festive farewell.",A Last New Year&#39;s Eve Toast for Tavern on the Green ,0
302,"Wendy's closed its doors in Japan after almost 30 years this week but not before attracting long lines that spilled onto the sidewalk at some of the hamburger chain's 71 restaurants. The Wendy's/Arby's Group, the third-largest fast-food company in the United States, was unable to renew a franchise agreement with the Zensho Company of Tokyo this month.",Wendy's Shuts Doors in Japan,0
304,"Rush Limbaugh said Friday that doctors found nothing wrong with his heart or arteries, but that the cause of chest pains that sent him to a hospital in Hawaii on Wednesday was unknown. At a news conference at Queen's Medical Center in Honolulu, Mr. Limbaugh, the influential radio host, said doctors had performed tests and ''found absolutely nothing; it was a blessing.''",Limbaugh Is Out Of the Hospital,1
305,"Gregor Schlierenzauer won the second stop of the Four-Hill Tour by beating his Austrian teammate Wolfgang Loitzl on Friday in Garmisch-Partenkirchen, Germany. Schlierenzauer earned his 27th World Cup victory, scoring 277.7 points on jumps of 136.5 meters, or about 448 feet, and 137.5 meters. Loitzl had 277.5 points after jumps of 135 meters.",27th Title for Ski Jumper,0
306,"In a college football career filled with superlatives, Tim Tebow gave a performance Friday night that epitomized his larger-than-life persona. With the foundation of the Florida program shaken after a week of drama, Tebow set a Sugar Bowl record by completing his first 12 passes and delivered perhaps the most dominant performance of his career, guiding the No. 5 Gators to a 51-24 victory against overmatched No. 4 Cincinnati.",Sweet Finish for Tebow and Gators,0
307,"South Korea's exports increased in December at the fastest rate in 17 months, adding to signs that the country's economy is recovering from the global recession. Overseas shipments gained 33.7 percent in December from a year earlier, to $36.2 billion, the Ministry of Knowledge Economy said Friday. That was more than the median 27.9 percent forecast in a Bloomberg News survey of 10 economists. Imports rose 24 percent, to $32.9 billion, for a trade surplus of $3.3 billion. For 2009, the country's trade surplus reached a record $41 billion as imports dropped 25.8 percent while exports declined 13.8 percent, the ministry said in a statement. Exports to China, the biggest buyer of South Korean goods, surged 74.4 percent in the first 20 days of December, the ministry's report showed. Shipments to the United States rose 8.7 percent and shipments to Europe gained 49.4 percent over the same period. Shipments of semiconductors and display panel exports more than doubled last month, the government said. Petrochemical exports gained 61.1 percent.",South Korea's Exports Surged Last Month,1
308,"Carlos Ruano was down to his last $50 when his landlord kicked him out in September because he could no longer pay rent. He sent the money to his wife and children in Guatemala and spent the night riding the E train, which has a nickname among his fellow day laborers in Woodside, Queens: ''hotel ambulante,'' Spanish for roving hotel. Mr. Ruano, 38, who had drawn his living from 69th Street and Broadway for six years, has been on the streets since. He and other hard-luck day laborers have slept wherever they can: in the emergency room at Elmhurst Hospital Center, in unfinished buildings abandoned by bankrupt developers and under bridges along the freight railroad tracks that slice through western Queens, where dirty mattresses and work boots lay on the rocky ground one recent morning.","In the Shadows, Day Laborers Left Homeless as Work Vanishes",0
309,"Cardinal Cahal Daly, a philosopher who led the Roman Catholic Church in Ireland during some of the country's worst years of sectarian violence, died on Thursday in Belfast. He was 92. The church announced his death.","Cardinal Cahal Daly, 92; Led Irish Church",0
310,The city is home to Buddhist temples and religious festivals.,"Celebrating History in Nara, Japan",0
311,"Foreign countries, including Norway and Oman, have contributed to former President Bill Clinton's charity, and donors including Donald Trump, the Coca-Cola Company and the Elton John AIDS Foundation pitched in as Hillary Rodham Clinton served her first year as secretary of state in 2009. A donor list released Friday by the William J. Clinton Foundation shows that in all, Norway has given $10 million to $25 million to the charity since its founding roughly a decade ago. Oman gave $1 million to $5 million. The list gave only cumulative ranges rather than precise donations and did not say how much each contributor gave last year.",Clintons Release 2009 Donor List for Ex-President's Charitable Foundation,0
314,"Russia's cheapest thrill disappeared at dawn on Friday, when the minimum price for a half-liter of vodka rose to 89 rubles, or around $3, from an earlier price of $1.69. The change is part of an anti-alcoholism campaign by President Dmitri A. Medvedev, who had said he was shaken by recent data showing that Russians consume 4.75 gallons of pure alcohol per capita every year, more than double the level that the World Health Organization considers a health threat. (The average American, by comparison, consumes 2.3 gallons of pure alcohol per year.)","In Russia, a New Year and a New Price for Vodka",0
315,"THERE is still no cure for the common cold, but that hasn't stopped consumers from spending billions of dollars every year on vitamins, medicines and doctor visits. (I admit I do, too, from time to time.) ''There's a bit of magical thinking at work here,'' said Dr. William Schaffner, chairman of the Department of Preventive Medicine at Vanderbilt University. ''In the 21st century, the idea is that we ought to be able to do something about colds and flus.''","When the Sniffles Start, Think Before You Buy",0
316,"In a decision that may have implications for both Hollywood and Broadway, the Australian actress Cate Blanchettand her husband, Andrew Upton, right, have announced that they will extend their term as joint artistic directors of the Sydney Theater Company until 2013. Ms. Blanchett and Mr. Upton , the Australian playwright, screenwriter and director, took on that position for a three-year term that began in 2008, and they have enlisted Oscar winners like Steven Soderbergh and Philip Seymour Hoffman in company productions. ''We hope more and more people, especially those in Sydney, will find their way to the company and join us on this incredible ride,'' the couple said in a statement on Friday, according to The Australian. It was not immediately clear what impact their decision would have on efforts to bring to Broadway the recent production of Tennessee Williams's ''Streetcar Named Desire'' at the Brooklyn Academy of Music starring Ms. Blanchett and directed by Liv Ullmann.",Blanchett And Upton Extend Term of Sydney Job,0
317,"Rangers forwards Chris Drury and Ryan Callahan were named to the United States Olympic team on Friday, in an announcement after the Winter Classic at Fenway Park. Devils forwards Jamie Langenbrunner and Zach Parise were also named to the 23-man roster, as was the injured Devils defenseman Paul Martin, who is recovering from a broken arm. Brian Burke, Team USA's general manager, said Martin would be replaced on the roster if he had not recovered by the start of the Olympic hockey tournament on Feb. 16.","For the United States, a Younger and Speedier Olympic Squad",0
318,"Rashard Lewis scored 21 points and Matt Barnes added 17 to help the Orlando Magic snap a three-game road losing streak with a 106-94 victory against the Minnesota Timberwolves on Friday night. Jonny Flynn led Minnesota with 23 points, Kevin Love added 17 points and 10 rebounds and Al Jefferson had 14 points and 10 rebounds.",Magic Snaps 3-Game Road Skid,0
319,"The London Jewish Museum of Art is a scrappy young institution, created in 2001 and camped in rented space in St. John's Wood, off the beaten track of London's art world. But over the last nine years the museum has been diligently trying to forge a reputation for itself, adding more than 100 works to an already substantial collection that grew out of that of the Ben Uri Gallery, a Jewish artists' society founded in London in 1915.",Small Museum Captures a Rare Chagall,1
321,"In areas like Kunduz, in northern Afghanistan, the American-led coalition and the Afghan government are enlisting local militias in the battle against the Taliban.",Resurrecting Local Militias ,0
325,"Orchestras and their audiences like traditions, and for many, New Year's Eve concerts are reserved either for the sheer celebratory frothiness of Strauss waltzes and polkas or for Beethoven's Ninth Symphony, with its loftier paean to joy and hope. Well into the 1990s, the New York Philharmonic was mostly inclined toward Strauss, but during Kurt Masur's tenure as music director, it began to experiment. Since then it has offered everything from Leroy Anderson miniatures (if New Year's Eve music must be lightweight, why not revive some American examples?) to theater songs, with Beethoven and Strauss each making an occasional return.","A New Year's Eve Rite, Without a Formal Tradition",0
326,"It will take some time before all the facts about the Christmas Day terrorism plot are known and analyzed. One thing is already clear: The government has to urgently improve its ability to use the reams of intelligence it receives every day on suspected terrorists and plots. That was supposed to have been addressed after the infamous ''failure to connect the dots'' before the 9/11 attacks. The echoes of the earlier disaster in this near-disaster are chilling. There were plenty of clues about Umar Farouk Abdulmutallab, the Nigerian man accused of trying to blow a hole in the side of Northwest Flight 253. But no one in the vast (and vastly expensive) intelligence and homeland security bureaucracy put them together.",Why Didn't They See It?,0
327,"Michael R. Bloomberg on Friday became only the fourth mayor in New York City history to take office for a third term, striving in his inaugural address to repair damage caused by his campaign to overturn term limits and to make clear that his administration would not run out of ideas. Through his first eight years, Mr. Bloomberg was hardly known for introspection, much less humility. But on Friday, he sought to strike a more conciliatory tone. As he stood on a dais set atop the steps of City Hall, he said, ''The building behind me is yours, and the job in front of me is to listen and to lead.''","In Humble Tones for Third Term, Mayor Says His Job Is to Listen",0
328,"The major professional golf circuits each ended the decade with significant shake-ups that could alter the competitive landscape. The two very different events occurred outside the competitive arena: the fall from grace of the PGA Tour superstar Tiger Woods and the replacing of the ousted L.P.G.A. commissioner, Carolyn Bivens, with Michael Whan. The L.P.G.A. desperately needs to compete for sponsorship dollars in a tight economy, and Whan, a successful entrepreneur with strong ties to the tight-knit golf community, has impressed insiders with his savvy and charm. Those commodities were in short supply during the Bivens regime, which was marked by loss of sponsors and contentious relationships with longtime constituents.","GOLF: Tiger Slam, Tiger Effect, Then Scandal",0
329,"Lynda Benglis is best when operating at an extreme, any extreme. Her 40-year career has included extremes of color, erotic posturing, decorative flamboyance, eccentric materials and innovative processes. These were first visible in the late 1960s in exquisitely delicate wax paintings, whose layered pastels and melting surfaces evoked tinted skin. The melted wax begat poured floor pieces in pigmented latex that were basically paint run wild, as well as more dimensional versions that were pumped with foam (suggesting scoops of melting ice cream) and occasionally even cantilevered from walls.",Polyurethane and Color Punctuate a Long Career,0
332,"The Samsung Electronics Company's latest patent-infringement claims, which seek to block United States imports of LCD TVs made by the Sharp Corporation, will be investigated by a trade agency in Washington. The federal International Trade Commission said this week that it would investigate the complaint, which was filed Dec. 1. The case is part of an escalating two-year legal battle between the two companies over inventions used in liquid-crystal display televisions. The Samsung patents relate to the way LCD screens portray the black and white portion of images. Samsung is seeking to block imports of Sharp Aquos HDTVs made in Mexico. Samsung, based in Suwon, South Korea, won an earlier trade commission order banning Sharp televisions from the United States. That case is on appeal. Sharp continues to import its televisions, saying it has altered the product to avoid using the Samsung invention. Samsung says Sharp is flouting the trade commission's order. A commission judge, Paul Luckern, said he would hear arguments on the dispute in April and release his findings by July 19.",U.S. To Investigate Trade Dispute Over LCD TVs,0
333,"La PENNA--Gerald A.,on December 27, 2009 of Long Beach, NY. Devoted father to Scott (Cindy), Tony, Gregg (Monique) and Joey. Loving grandfather to Ian and Danielle. Devoted uncle to Jason Parker. Our hero was the first to be discharged from the Korean War. Hairdresser and retired long time employee of the New York Times Newspaper. Visitation Sunday, 1-4pm. Service at 2:30pm at Macken Mortuary, Island Park Chapel, 3930 Long Beach Road. Donations can be made to: Disabled American Veterans, P.O. Box 14301, Cincinnati, Ohio 45250 or at DAV.org","Paid Notice: Deaths  LA PENNA, GERALD A.",0
334,"Taliban militants underscored their determination on Friday to prevent Pakistani citizens from forming armed militias to keep them at bay, as a suicide bomber rammed a truck loaded with hundreds of pounds of explosives into families and children crowded on a playground in the northwest. Local authorities said they had little doubt that the village, Shah Hassan Khel, was chosen because residents were forming a pro-government militia. The village sits at the edge of the tribal area of South Waziristan, where the military opened an offensive to break up Taliban strongholds in October.",SUICIDE BOMBING ON PLAYING FIELD IN PAKISTAN TOWN,0
335,"In October New York City Ballet announced the promotion of six dancers, five of them to principal -- Tyler Angle, Robert Fairchild, Tiler Peck, Amar Ramasar and Teresa Reichlen -- and one, Kathryn Morgan, to soloist. On Christmas Eve it also announced the promotion of Erica Pereira to soloist. The company now has no fewer than 30 principals, though it is expected to announce some retirements during its remaining winter season. The ascent of some of these dancers has been gradual; that of others rapid. Mr. Fairchild became an apprentice only in 2005, a corps member in 2006, and Ms. Morgan and Ms. Pereira are a year junior to him. For those three and for Ms. Peck, one springboard came with Peter Martins's ''Romeo and Juliet'' (2007): they were among its young lovers, and since then other roles have followed. Almost all City Ballet's principals, new and old alike, are cast in Mr. Martins's new ballet ''Naïve and Sentimental Music,'' which had its premiere in November and returns to repertory on Jan. 5.",Newest Stars Try Cracking Holiday 'Nut',0
336,"A crazy bounce off the glass allowed Derek Roy to score into an unattended net 4 minutes 2 seconds into overtime as the Sabres overcame visiting Atlanta, 4-3.",Sabres Take Advantage of Lucky Bounce,0
337,"British house prices rose for an eighth straight month in December as a scarcity of homes for sale and signs that the economy was emerging from the worst recession on record pushed up prices, the Nationwide Building Society said. The average cost of a home increased 0.4 percent from the previous month, to £162,103 ($260,086), the mortgage lender said Thursday. Prices rose 5.9 percent from a year earlier. Home values are 12.2 percent lower than at their peak in October 2007. The ''restriction in supply meant that even a relatively modest pickup in demand was able to put upward pressure on house prices,'' Martin Gahbauer, Nationwide's chief economist, said in a statement.",British House Prices Rose In December,0
338,"Iranian authorities sent police officers into the streets to deter protests on Friday as Mir Hussein Moussavi, the principal opposition leader, said in a statement that he did not fear giving his life as ''a martyr.'' The continuing show of force in the capital and Mr. Moussavi's declaration, in which he said that even killing him would not end the unrest, were part of a day of charges, countercharges and warnings from both sides, illustrating the deep divisions that have emerged since Iran's political crisis began six months ago.",Iran Leaders Stage Show of Force as Standoff Escalates,0
339,"<!-- MORTON  ROSS -->ROSS--Morton. A loving companion for over 30 years, I mourn the loss of Morton Ross. We were each others bright lights in times of darkness. Great times, great memories. Susie Silverman<br><br>
 ","Paid Notice: Deaths  ROSS, MORTON ",0
340,"We all know Bizet's ''Carmen,'' or think we do. Its familiarity is the greatest challenge to any company presenting it. The acclaimed English director Richard Eyre made this point repeatedly in interviews before the opening of his new Metropolitan Opera production of ''Carmen.'' Without resorting to gratuitous touches and provocative changes to the opera, he said, he wanted to subvert the familiarity so that audiences would leave shocked and awed yet also touched by this 1875 masterpiece.","That Daring Gypsy Strikes Again, and Anew",0
342,"To the Editor: Re ''Weighing the Medical Costs of End-of-Life Care'' (''Months to Live'' series, front page, Dec. 23):",How Hospitals Care For the Dying,0
344,"A special court on Friday charged a Myanmar-born American, Kyaw Zaw Lwin, with forgery and violation of the foreign currency act, his lawyer said. He was accused of making up a national identity card, which carries a maximum seven-year prison term. The charge of violating the currency act carries a sentence of three years, his lawyer, Nyan Win, said. He had initially been accused of trying to foment rebellion against the country's military rulers, which he denied.",Myanmar: American Charged With Forgery,0
345,"North Korea called on Friday for an end to ''the hostile relationship'' with the United States, issuing a New Year's message that highlighted the reclusive country's attempt to readjust the focus of six-party nuclear disarmament talks. In an editorial carried by its major state media outlets, North Korea said that its consistent stand was ''to establish a lasting peace system on the Korean Peninsula and make it nuclear-free through dialogue and negotiations.'' The editorial added that ''the fundamental task for ensuring peace and stability'' was ''to put an end to the hostile relationship'' with the United States.",North Korea Calls for Better U.S. Ties,0
346,"UTStarcom, an American telecommunications company, has agreed to pay $3 million in fines after United States law enforcement officials accused it of a long-running scheme to bribe officials of China and other countries with cash, travel junkets and other gifts. The Justice Department and the Securities and Exchange Commission, which both issued statements on Thursday, said that from 2002 to 2007, UTStarcom paid about $7 million for hundreds of trips by employees of China's government-owned telecommunications companies to visit the United States for ''training'' sessions that were often sightseeing vacations to Hawaii, Las Vegas and other tourist locations.",Telecom Company to Pay $3 Million in China Bribe Case,0
347,"The changes across the landscape here would have been hard to imagine just a few years ago. The rebel groups that started the war in Darfur in 2003, catalyzing a conflict that has claimed hundreds of thousands of lives, almost seem to have gone into hibernation. So, too, have the infamous janjaweed, the marauding bandits who raped, killed and terrorized countless civilians.","After Years of Mass Killings, Fragile Calm Holds in Darfur",0
348,"For years, Billy and Angela Flores pleaded with their son Nicolas to wear a helmet while hurtling down the slopes on his snowboard. And each time, Nicolas shrugged off his parents' urgings with the typical aplomb of a free-spirited teenager.",Helmets Becoming More Common On the Ski Slopes,0
349,"Maine legislators this month will take up the question of whether cellphones sold in the state must contain warnings that they may cause brain cancer, despite a lack of scientific consensus on the issue. State Representative Andrea M. Boland, a Democrat from Sanford, is pushing for the state to become the first to require cellphone manufacturers to put warnings on packaging, like those on cigarettes.",Maine to Consider Putting Warnings on Cellphones,0
350,"Bill Powell, who was honored last summer as a racial pioneer in American golf more than 60 years after building a golf course while he was shunned by the sport he loved, died Thursday at a hospital in Canton, Ohio. He was 93.","Bill Powell, 93, Who Faced Racism With a Golf Course",0
351,"The Florida State players were determined to carry off the coach who had lifted their once-moribund football program to national eminence. But once on their shoulders, Bobby Bowden balked. After a few yards of forward progress, Bowden pointed at the ground. Even after the final victory of his storied career, a 33-21 win against West Virginia in the Gator Bowl on Friday, Bowden was uncomfortable being elevated above everybody else.",Bowden Goes Out on Top of Shoulders After Victory in Finale,0
352,Food stamp programs in 30 states and the District of Columbia provided data on the number of recipients who had no other cash income.,"Food Stamps, and Nothing Else ",0
353,"Both Afghan and Pakistani Taliban groups claimed responsibility for the suicide bombing this week that killed eight Americans -- seven of them C.I.A. officers -- suggesting that the attack was viewed as a success and could be used to gain recruits and financial support. The competing claims, made Thursday and Friday, did little to clarify the circumstances of the attack, as each group offered a different account of how the C.I.A. base in Khost Province, in southeastern Afghanistan, had been infiltrated on Wednesday.",Different Taliban Groups Claim Role in Bombing at C.I.A. Afghan Outpost,0
